area_code,year,public_transport_access_value
091051,2005,37.411761493
091051,2006,37.496062776
091051,2007,39.368891448
091051,2008,38.387715931
091051,2009,30.19821007
091051,2010,36.505580296
091051,2011,38.452520516
091051,2012,34.138218152
092009,2001,209.05884946
092009,2002,207.02221814
092009,2003,208.9581592
092009,2004,205.28662912
092009,2005,211.4983098
092009,2006,242.09969878
092009,2007,244.52266089
092009,2008,257.19069697
092009,2009,254.13049566
092009,2010,259.21471163
092009,2011,230.88915566
092009,2012,233.95062915
093033,2001,37.503955575
093033,2002,37.400163575
093033,2003,37.450436162
093033,2004,37.216321091
093033,2005,38.756497009
093033,2006,39.19403809
093033,2007,43.405774941
093033,2008,48.870122762
093033,2009,46.663102124
093033,2010,42.743413461
093033,2011,43.033816425
093033,2012,43.971807549
094023,2001,30.218612777
094023,2002,30.168045441
094023,2003,30.03003003
094023,2004,29.863978909
094023,2005,29.692864434
094023,2006,29.613177864
094023,2007,29.500564659
094023,2008,29.376663913
094023,2009,29.226413371
094023,2010,29.311164972
094023,2011,29.2218057
094023,2012,28.536596379
095038,2001,3.7110958648
095038,2002,3.8186157518
095038,2003,3.785035035
095038,2004,3.7219889571
095038,2005,3.7433236453
095038,2006,3.7347422117
095038,2007,3.9054157132
095038,2008,4.1541017909
095038,2009,4.0598754145
095038,2010,4.6750089604
095038,2011,4.6988065031
095038,2012,4.7126093718
096004,2001,16.740734349
096004,2002,14.370971073
096004,2003,14.078443191
096004,2004,16.929803778
096004,2005,15.387611998
096004,2006,12.494014192
096004,2007,12.659329186
096004,2008,17.005915101
096004,2009,17.996008158
096004,2010,20.058184045
096004,2011,21.169012076
096004,2012,22.8560137
097042,2001,73.615064594
097042,2002,71.629444013
