area_code,year,car_ownership_density
ITG12,2023,2958.313933404425
ITG11,2023,3256.9681808869673
ITE42,2023,3197.2204211653934
ITE41,2023,3365.466478736884
ITC47,2023,2763.855786576775
ITC46,2023,2644.9405301083657
ITF11,2023,3293.955426327543
ITF1,2023,3148.709607385684
ITF,2023,2949.539623700932
ITC4,2023,2645.6812908297024
ITF21,2023,3581.6717791411043
ITF2,2023,3285.6387957846423
ITD54,2023,2844.853395909073
ITG,2023,3124.3888161620343
ITF65,2023,3210.209472846426
ITC15,2023,2979.1099000908266
ITC14,2023,3090.3132035680696
ITC11,2023,2981.0558420324487
ITD43,2023,2850.9616873664327
ITD42,2023,3139.6399399899983
ITF14,2023,3243.519369347584
ITF31,2023,2902.593747913268
ITF13,2023,2856.4317198993285
ITF12,2023,3199.3695251100426
ITC42,2023,2943.515886819667
ITE21,2023,3394.518609109085
ITC4A,2023,2749.994040098219
ITC49,2023,2643.2425581226917
ITD33,2023,2901.29864671766
ITD32,2023,2895.3123255892956
ITF64,2023,3233.702756464905
ITF63,2023,3161.4638002306624
ITG1,2023,3208.4336024934805
ITD51,2023,2852.788865312421
ITD5,2023,2823.7453530299967
ITD55,2023,2550.5603540007787
ITF61,2023,3336.333460160852
ITF6,2023,3222.3989818644604
ITC17,2023,3251.998379979963
ITC16,2023,3115.0991268693065
ITD59,2023,2810.067744647184
ITC13,2023,3466.6577468557666
ITD53,2023,3082.2364103791433
ITD52,2023,2757.638970768296
ITD34,2023,2918.6758032181106
ITC48,2023,2867.104229331513
ITE32,2023,2915.900058364137
ITE31,2023,2961.5593769259585
ITE3,2023,3052.0833031908583
ITE4,2023,2890.517385051037
ITE2,2023,3388.9408051168634
ITE1A,2023,3160.597224807163
ITE19,2023,3208.9309923510805
ITF3,2023,2827.423320723459
ITF22,2023,3172.9959564800533
ITC34,2023,2688.6367394179892
ITC33,2023,2290.356268043041
ITE22,2023,3371.6938242229826
ITC3,2023,2505.918244273906
ITE17,2023,2974.909499438272
ITE16,2023,2940.374787052811
ITD1,2023,3427.3643702681225
ITD20,2023,6137.815648620437
ITE1,2023,3198.5970544793095
ITE,2023,3040.49534583196
ITDA,2023,4741.897379371753
ITE13,2023,3075.3037690581223
ITD57,2023,3006.751054852321
ITD56,2023,3044.994754497533
ITD,2023,3036.8012016131383
ITC4B,2023,2952.9171995715965
ITF33,2023,2686.9906897731225
ITF32,2023,3210.518297843529
ITF4,2023,2877.4859454199827
ITE15,2023,2560.8582472193734
ITE14,2023,3621.2279317570606
ITF5,2023,3161.4004984270946
ITF62,2023,2918.5812488564784
ITF45,2023,3176.481391518656
ITF44,2023,3142.014021365891
ITC20,2023,9269.927357591296
ITD58,2023,2859.3561732936673
ITD31,2023,2913.815906085107
ITD3,2023,2844.5871425360533
ITE18,2023,3249.665885964564
ITF35,2023,2965.174698352272
ITF34,2023,3112.9867231953585
ITC32,2023,2894.479444378407
ITC31,2023,2666.0361277984493
ITC2,2023,9269.927357591296
ITE12,2023,3130.5672843168045
ITE11,2023,3002.087081684059
ITD2,2023,6137.815648620437
ITD10,2023,3427.3643702681225
ITF43,2023,2878.3147278903293
ITF42,2023,2777.228633770604
ITF41,2023,2617.570442408718
ITC18,2023,3202.1707988980716
ITF52,2023,2948.400180261379
ITF51,2023,3282.584449714762
ITG16,2023,3235.3286902347995
ITG25,2023,2910.377766625712
ITG15,2023,3144.044014474559
ITG14,2023,3358.782766560397
ITC12,2023,3197.6425294024575
ITC43,2023,2829.3207494654807
ITG26,2023,2967.9709073937224
IT110,2023,2756.4930029467555
ITE45,2023,3489.2334358720395
ITE44,2023,2921.9407696933254
ITE43,2023,2781.2322008665355
ITC45,2023,2307.4779313847966
ITC44,2023,2767.9654878076913
ITD37,2023,3156.374831933592
ITD4,2023,2945.2511443349595
ITD41,2023,3015.311955574913
ITD4,2024,2947.533673745146
ITD37,2024,3171.980320756179
ITD44,2024,2457.6759934514066
ITC43,2024,2821.4680327457186
ITC44,2024,2786.0874346989276
ITC45,2024,2274.1283863729714
ITE43,2024,2811.7692599457673
ITE44,2024,2939.877364761414
IT109,2024,3225.9794237627316
IT110,2024,2804.807035621428
ITG26,2024,3004.637297118251
ITC12,2024,3193.045156914408
ITG14,2024,3413.967858809931
ITG2,2024,2912.9734315371106
ITG25,2024,2928.8710135815973
ITD41,2024,3021.5683628019974
ITF51,2024,3338.9764897158634
ITF52,2024,2981.598542280611
ITE12,2024,3134.465038397136
ITF41,2024,2646.12040327007
ITF42,2024,2803.6515799744802
ITF43,2024,2906.0486974840983
ITD10,2024,2846.4129592740146
ITD2,2024,6434.218802568641
ITE11,2024,3012.5089349535383
ITC18,2024,3184.928898608436
ITC2,2024,7777.843368752459
ITC3,2024,2478.3909225548387
ITC31,2024,2659.2082262210797
ITC32,2024,2876.812567132116
ITF34,2024,3147.767469799106
ITE17,2024,2968.9416704400446
ITD3,2024,2855.5285418842554
ITD31,2024,2924.437726995872
ITD58,2024,2855.6551069885104
ITC20,2024,7777.843368752459
ITF44,2024,3181.674999105108
ITF61,2024,3362.075936819314
ITF62,2024,2980.1904661685785
ITF5,2024,3208.7067756721963
ITE18,2024,3250.2695028002
ITE14,2024,3650.389942718614
ITE15,2024,2550.2027448534
ITF45,2024,3215.3081416705177
ITF4,2024,2910.181524967058
ITF32,2024,3244.127729276077
ITF33,2024,2715.69303134988
ITC4B,2024,2963.7627432808154
ITD,2024,3031.38280052746
ITD55,2024,2541.1730679323923
ITD56,2024,3029.001430907604
ITD57,2024,3006.1737641771883
ITG,2024,3151.2908223987065
ITE13,2024,3073.0307852377746
ITDA,2024,4590.255312795501
ITE,2024,3057.518481541626
ITE1,2024,3205.6175000029434
ITD20,2024,6434.218802568641
ITD1,2024,2846.4129592740146
ITE16,2024,2935.7563740958976
ITC33,2024,2255.980719357743
ITC34,2024,2655.157732543995
ITF22,2024,3177.799809972322
ITE22,2024,3383.1403839234695
ITE19,2024,3197.361232969689
ITE1A,2024,3178.9586511110197
ITE2,2024,3406.610613569535
ITF35,2024,3006.6818502206233
ITE4,2024,2918.1106198853786
