area_code,year,self_employment_share
ITF65,2019,25.58
ITF65,2020,23.51
ITF65,2021,22.83
ITF65,2022,22.89
ITF65,2023,24.52
ITF65,2024,23.98
ITF65,2025,28.21
ITFG,2004,27.6
ITFG,2005,26.53
ITFG,2006,26.66
ITFG,2007,26.78
ITFG,2008,26.56
ITFG,2009,26.16
ITFG,2010,26.58
ITFG,2011,26.74
ITFG,2012,26.66
ITFG,2013,26.39
ITFG,2014,26.27
ITFG,2015,26.01
ITFG,2016,25.61
ITFG,2017,25.39
ITFG,2018,25.11
ITFG,2019,24.54
ITFG,2020,24.65
ITFG,2021,24.09
ITFG,2022,23.48
ITFG,2023,23.32
ITFG,2024,23.61
ITFG,2025,23.73
ITG1,2018,23.87
ITG1,2019,22.85
ITG1,2020,22.73
ITG1,2021,22.73
ITG1,2022,21.68
ITG1,2023,20.79
ITG1,2024,21.02
ITG1,2025,22.11
ITG11,2018,28.46
ITG11,2019,25.74
ITG11,2020,24.72
ITG11,2021,24.49
ITG11,2022,23.84
ITG11,2023,22.45
ITG11,2024,19.99
ITG11,2025,24.98
ITG12,2018,22.85
ITG12,2019,22.52
ITG12,2020,21.9
ITG12,2021,22.22
ITG12,2022,20.42
ITG12,2023,21.68
ITG12,2024,22.23
ITG12,2025,21.34
ITG13,2018,20.16
ITG13,2019,22.49
ITG13,2020,22.04
ITG13,2021,20.32
ITG13,2022,18.37
ITG13,2023,16.59
ITG13,2024,15.49
ITG13,2025,19.85
ITG14,2018,26.45
ITG14,2019,28.9
ITG14,2020,27.05
ITG14,2021,25.35
ITG14,2022,25.47
ITG14,2023,26.59
ITG14,2024,28.46
ITG14,2025,29.75
ITG15,2018,24.41
ITG15,2019,22.0
ITG15,2020,20.63
ITG15,2021,22.77
ITG15,2022,23.45
ITG15,2023,17.12
ITG15,2024,21.08
ITG15,2025,23.09
ITG16,2018,24.85
ITG16,2019,23.28
ITG16,2020,20.95
ITG16,2021,21.71
ITG16,2022,23.27
ITG16,2023,23.17
ITG16,2024,17.63
ITG16,2025,22.45
ITG17,2018,22.79
ITG17,2019,20.5
ITG17,2020,22.92
ITG17,2021,22.84
ITG17,2022,21.36
ITG17,2023,19.12
ITG17,2024,20.93
ITG17,2025,21.08
ITG18,2018,26.52
ITG18,2019,22.9
ITG18,2020,22.45
ITG18,2021,23.97
ITG18,2022,23.72
ITG18,2023,24.04
ITG18,2024,23.23
ITG18,2025,22.89
ITG19,2018,25.08
ITG19,2019,21.71
ITG19,2020,21.33
ITG19,2021,22.15
ITG19,2022,21.46
ITG19,2023,18.92
ITG19,2024,18.46
ITG19,2025,18.39
ITG2,2018,25.39
ITG2,2019,24.7
ITG2,2020,27.61
ITG2,2021,27.28
ITG2,2022,24.29
ITG2,2023,24.19
ITG2,2024,25.27
ITG2,2025,24.82
ITG25,2018,26.82
ITG25,2019,26.93
ITG25,2020,31.07
ITG25,2021,27.35
ITG25,2022,24.86
ITG25,2023,26.71
ITG25,2024,29.02
ITG25,2025,29.26
ITG26,2018,30.14
ITG26,2019,26.43
ITG26,2020,28.11
ITG26,2021,27.85
ITG26,2022,26.94
ITG26,2023,27.91
ITG26,2024,26.93
ITG26,2025,26.89
ITG27,2018,20.13
ITG27,2019,19.28
ITG27,2020,22.81
ITG27,2021,27.21
ITG27,2022,21.63
ITG27,2023,19.97
ITG27,2024,20.95
ITG27,2025,19.18
ITG28,2018,30.09
ITG28,2019,29.34
ITG28,2020,31.23
ITG28,2021,27.14
ITG28,2022,25.26
ITG28,2023,23.42
ITG28,2024,22.36
ITG28,2025,24.41
