area_code,year,pm10_annual_avg
ITF12,2019,24.0
ITF12,2020,24.0
ITF12,2021,22.0
ITF12,2022,24.0
ITF12,2023,24.0
ITF13,2013,28.0
ITF13,2014,27.0
ITF13,2015,31.0
ITF13,2016,28.0
ITF13,2017,28.0
ITF13,2018,28.0
ITF13,2019,24.0
ITF13,2020,24.0
ITF13,2021,24.0
ITF13,2022,25.0
ITF13,2023,23.0
ITF14,2017,22.0
ITF14,2018,24.0
ITF14,2019,18.0
ITF14,2020,21.0
ITF14,2021,20.0
ITF14,2022,23.0
ITF14,2023,20.0
ITF2,2013,1.0
ITF2,2014,0.0
ITF2,2015,0.0
ITF2,2016,0.0
ITF2,2017,0.0
ITF2,2018,0.0
ITF2,2019,0.0
ITF2,2021,0.0
ITF2,2022,0.0
ITF2,2023,0.0
ITF21,2016,17.0
ITF22,2013,22.0
ITF22,2014,18.0
ITF22,2015,17.0
ITF22,2016,20.0
ITF22,2017,17.0
ITF22,2018,17.0
ITF22,2019,17.0
ITF22,2021,17.0
ITF22,2022,19.0
ITF22,2023,18.0
ITF3,2013,5.0
ITF3,2014,5.0
ITF3,2015,4.0
ITF3,2016,5.0
ITF3,2017,5.0
ITF3,2018,4.0
ITF3,2019,3.0
ITF3,2020,4.0
ITF3,2021,5.0
ITF3,2022,4.0
ITF3,2023,4.0
ITF31,2013,47.0
ITF31,2014,28.0
ITF31,2015,22.0
ITF31,2016,45.0
ITF31,2017,30.0
ITF31,2018,30.0
ITF31,2019,20.0
ITF31,2020,30.0
ITF31,2021,30.0
ITF31,2022,29.0
ITF31,2023,29.0
ITF32,2013,61.0
ITF32,2014,33.0
ITF32,2016,43.0
ITF32,2017,29.0
ITF32,2018,10.0
ITF32,2019,18.0
ITF32,2020,20.0
ITF32,2021,25.0
ITF32,2022,26.0
ITF32,2023,26.0
ITF33,2013,46.0
ITF33,2014,36.0
ITF33,2015,39.0
ITF33,2016,37.0
ITF33,2017,35.0
ITF33,2018,35.0
ITF33,2019,32.0
ITF33,2020,34.0
ITF33,2021,35.0
ITF33,2022,31.0
ITF33,2023,31.0
ITF34,2013,33.0
ITF34,2014,34.0
