area_code,year,museums_events
2002,2020,2.0
2003,2011,1.0
2003,2015,1.0
2003,2017,1.0
2003,2019,550.0
2003,2019,1.0
2016,2011,1.0
2016,2015,1.0
2016,2017,1.0
2016,2018,2485.0
2016,2018,1.0
2016,2019,2542.0
2016,2019,1.0
2016,2020,700.0
2016,2020,1.0
2043,2011,1.0
2043,2015,1.0
2043,2017,1.0
2043,2018,120.0
2043,2018,1.0
2043,2019,80.0
2043,2019,1.0
2043,2020,60.0
2043,2020,1.0
2057,2011,2.0
2057,2015,2.0
2057,2017,2.0
2057,2018,1400.0
2057,2018,2.0
2057,2019,600.0
2057,2019,2.0
2057,2020,0.0
2057,2020,2.0
2066,2011,2.0
2066,2015,2.0
2066,2017,1.0
2066,2018,650.0
2066,2018,2.0
2066,2019,350.0
2066,2019,2.0
2066,2020,100.0
2066,2020,2.0
2071,2015,1.0
2071,2017,1.0
2071,2018,500.0
2071,2018,1.0
2071,2019,1000.0
2071,2019,1.0
2079,2015,1.0
2079,2019,700.0
2079,2019,1.0
2079,2020,0.0
2079,2020,1.0
2111,2011,1.0
2111,2015,1.0
2114,2011,1.0
2114,2015,1.0
2114,2017,1.0
2116,2011,1.0
2116,2015,1.0
2116,2017,1.0
2116,2018,406.0
2116,2018,1.0
2116,2019,470.0
2116,2019,1.0
2116,2020,32.0
2116,2020,1.0
2133,2011,1.0
2137,2015,1.0
2137,2017,1.0
2137,2018,100.0
2137,2018,1.0
2137,2019,230.0
2137,2019,1.0
2137,2020,51.0
2137,2020,1.0
2148,2011,1.0
2148,2015,1.0
2148,2017,1.0
2148,2019,135.0
2148,2019,1.0
2148,2020,6.0
2148,2020,1.0
2156,2011,84538.0
2156,2011,3.0
2156,2015,2.0
2156,2017,2.0
2156,2018,60064.0
2156,2018,3.0
2156,2019,54462.0
2156,2019,3.0
2156,2020,1087.0
2156,2020,2.0
2158,2011,2.0
2158,2015,20134.0
2158,2015,3.0
2158,2017,21908.0
2158,2017,3.0
2158,2018,22883.0
2158,2018,3.0
2158,2019,21790.0
2158,2019,3.0
2158,2020,3612.0
2158,2020,2.0
2170,2017,1.0
2170,2018,400.0
2170,2018,1.0
2170,2019,52.0
2170,2019,1.0
2170,2020,250.0
2170,2020,1.0
3002,2011,1.0
3002,2015,1.0
3002,2017,1.0
3002,2018,880.0
3002,2018,1.0
3002,2019,1018.0
3002,2019,1.0
3002,2020,185.0
3002,2020,1.0
3006,2011,1.0
3006,2015,1.0
3006,2017,1.0
3006,2018,434.0
3006,2018,1.0
3006,2019,1724.0
3006,2019,1.0
3006,2020,0.0
3006,2020,1.0
3008,2011,2.0
