area_code,vocational_training_attendance,year,value
ITG2,1,2024,34108.1180193185
ITG2,9,2024,727673.0001688007
ITG25,0,2024,209366.4888530647
ITG25,1,2024,8634.511147335812
ITG25,9,2024,218001.0000004005
ITG26,0,2024,85779.80629460484
ITG26,1,2024,4215.193707356655
ITG26,9,2024,89995.0000019615
ITG27,0,2024,186203.9608539304
ITG27,1,2024,11744.03930270201
ITG27,9,2024,197948.0001566324
ITG28,0,2024,66194.3931324265
ITG28,1,2024,2994.606868090692
ITG28,9,2024,69189.00000051719
