area_code,year,housing_urban_development_support
ITG2,2011,138.35
ITG2,2012,138.8
ITG2,2013,138.4
ITG2,2014,134.0
ITG2,2015,131.05
ITG2,2016,132.35
ITG2,2017,127.05
ITG2,2018,130.4
ITG2,2019,134.55
ITG2,2020,128.65
ITG2,2021,131.25
ITG2,2022,139.5
ITG2,2023,154.2
ITG2,2024,140.4
ITG2,2025,149.3
