area_code,year,healthcare_worker_density
ITC1,2013,1082.0
ITC1,2013,3178.0
ITC1,2013,431.0
ITC1,2013,23677.0
ITC1,2013,306.0
ITC1,2013,617.0
ITC1,2013,7244.0
ITC1,2013,297.0
ITC1,2013,1020.0
ITC1,2013,443.0
ITC1,2013,577.0
ITC1,2013,5664.0
ITC1,2013,11910.0
ITC1,2013,639.0
ITC1,2013,15539.0
ITC1,2013,291.0
ITC1,2013,1.98
ITC1,2013,1.69
ITC1,2013,8.13
ITC1,2013,0.47
ITC1,2013,8.2
ITC1,2013,1.02
ITC1,2013,0.57
ITC1,2013,2.45
ITC1,2013,7.18
ITC1,2013,0.97
ITC1,2013,53.53
ITC1,2013,0.69
ITC1,2013,1.39
ITC1,2013,16.38
ITC1,2013,0.67
ITC1,2013,2.31
ITC1,2013,1.0
ITC1,2013,1.3
ITC1,2013,12.8
ITC1,2013,26.93
ITC1,2013,1.44
ITC1,2013,35.13
ITC1,2013,0.66
ITC1,2014,898.0
ITC1,2014,754.0
ITC1,2014,3616.0
ITC1,2014,213.0
ITC1,2014,3602.0
ITC1,2014,437.0
ITC1,2014,255.0
ITC1,2014,1101.0
ITC1,2014,3165.0
ITC1,2014,429.0
ITC1,2014,24311.0
ITC1,2014,306.0
ITC1,2014,613.0
ITC1,2014,7325.0
ITC1,2014,297.0
ITC1,2014,1022.0
ITC1,2014,438.0
ITC1,2014,584.0
ITC1,2014,5840.0
ITC1,2014,11990.0
ITC1,2014,598.0
ITC1,2014,15592.0
ITC1,2014,302.0
ITC1,2014,2.04
ITC1,2014,1.71
ITC1,2014,8.2
ITC1,2014,0.48
ITC1,2014,8.16
ITC1,2014,0.99
ITC1,2014,0.58
ITC1,2014,2.5
ITC1,2014,7.17
ITC1,2014,0.97
ITC1,2014,55.1
ITC1,2014,0.69
ITC1,2014,1.39
ITC1,2014,16.6
ITC1,2014,0.67
ITC1,2014,2.32
ITC1,2014,0.99
ITC1,2014,1.32
ITC1,2014,13.24
ITC1,2014,27.17
ITC1,2014,1.36
ITC1,2014,35.34
ITC1,2014,0.68
ITC1,2015,856.0
ITC1,2015,746.0
ITC1,2015,3596.0
ITC1,2015,191.0
ITC1,2015,3618.0
ITC1,2015,482.0
ITC1,2015,229.0
ITC1,2015,1100.0
ITC1,2015,3136.0
ITC1,2015,405.0
ITC1,2015,24848.0
ITC1,2015,296.0
ITC1,2015,585.0
ITC1,2015,7261.0
ITC1,2015,306.0
ITC1,2015,1007.0
ITC1,2015,431.0
ITC1,2015,576.0
ITC1,2015,5927.0
ITC1,2015,11784.0
ITC1,2015,611.0
ITC1,2015,15402.0
ITC1,2015,298.0
ITC1,2015,1.95
ITC1,2015,1.7
ITC1,2015,8.18
ITC1,2015,0.43
ITC1,2015,8.23
ITC1,2015,1.1
ITC1,2015,0.52
ITC1,2015,2.5
ITC1,2015,7.14
ITC1,2015,0.92
ITC1,2015,56.55
ITC1,2015,0.67
ITC1,2015,1.33
ITC1,2015,16.53
ITC1,2015,0.7
ITC1,2015,2.29
ITC1,2015,0.98
ITC1,2015,1.31
ITC1,2015,13.49
ITC1,2015,26.82
ITC1,2015,1.39
ITC1,2015,35.05
ITC1,2015,0.68
ITC1,2016,941.0
ITC1,2016,758.0
ITC1,2016,3636.0
ITC1,2016,194.0
ITC1,2016,3655.0
ITC1,2016,550.0
ITC1,2016,240.0
ITC1,2016,1146.0
ITC1,2016,3105.0
ITC1,2016,413.0
ITC1,2016,24769.0
ITC1,2016,308.0
ITC1,2016,611.0
ITC1,2016,7000.0
ITC1,2016,315.0
ITC1,2016,1042.0
ITC1,2016,430.0
ITC1,2016,612.0
ITC1,2016,5997.0
ITC1,2016,12146.0
ITC1,2016,627.0
ITC1,2016,15801.0
ITC1,2016,309.0
ITC1,2016,2.15
ITC1,2016,1.73
ITC1,2016,8.31
ITC1,2016,0.44
ITC1,2016,8.35
ITC1,2016,1.26
ITC1,2016,0.55
ITC1,2016,2.62
ITC1,2016,7.09
ITC1,2016,0.94
ITC1,2016,56.59
ITC1,2016,0.7
ITC1,2016,1.4
ITC1,2016,15.99
ITC1,2016,0.72
ITC1,2016,2.38
ITC1,2016,0.98
ITC1,2016,1.4
ITC1,2016,13.7
ITC1,2016,27.75
ITC1,2016,1.43
ITC1,2016,36.1
ITC1,2016,0.71
ITC1,2017,971.0
ITC1,2017,754.0
ITC1,2017,3707.0
ITC1,2017,200.0
ITC1,2017,3639.0
ITC1,2017,601.0
ITC1,2017,251.0
ITC1,2017,1127.0
ITC1,2017,3038.0
ITC1,2017,425.0
ITC1,2017,25822.0
ITC1,2017,312.0
ITC1,2017,606.0
ITC1,2017,7079.0
ITC1,2017,315.0
ITC1,2017,1010.0
ITC1,2017,421.0
ITC1,2017,589.0
ITC1,2017,6021.0
ITC1,2017,12278.0
ITC1,2017,635.0
ITC1,2017,15917.0
ITC1,2017,309.0
ITC1,2017,2.23
ITC1,2017,1.73
ITC1,2017,8.5
ITC1,2017,0.46
ITC1,2017,8.35
ITC1,2017,1.38
ITC1,2017,0.58
ITC1,2017,2.58
ITC1,2017,6.97
ITC1,2017,0.97
ITC1,2017,59.22
ITC1,2017,0.72
ITC1,2017,1.39
ITC1,2017,16.24
ITC1,2017,0.72
ITC1,2017,2.32
ITC1,2017,0.97
ITC1,2017,1.35
ITC1,2017,13.81
ITC1,2017,28.16
ITC1,2017,1.46
ITC1,2017,36.51
ITC1,2017,0.71
ITC1,2018,984.0
ITC1,2018,767.0
